,Fraction of Outliers (Mean),Fraction of Outliers (Median),Fraction of Outliers (Std Dev),Fraction of Outliers IQR,Fraction of Outliers percent outliers,GCOR,Participant,Quality (Mean),Quality (Median),Quality (Std Dev),Quality IQR,Quality percent outliers,RMSD (Mean),RMSD (Median),RMSD (Std Dev),RMSD IQR,RMSD percent outliers,Series,Session,Site,Std. DVARS (Mean),Std. DVARS (Median),Std. DVARS (Std Dev),Std. DVARS percent outliers,Std. DVARs IQR,aux_file,bitpix,data_type,db_name,descrip,extensions,intent_name,pix_dimx,pix_dimy,pix_dimz,qform_code,qoffset_x,qoffset_y,qoffset_z,quatern_b,quatern_c,quatern_d,scl_inter,scl_slope,sform_code,slice_code,slice_duration,slice_end,slice_start,srow_x,srow_y,srow_z,toffset,tr
3119,0.0013228261,0.00073,0.0015919665,0.0009175,0.0923913043,0.0756045647,26052,0.0798253832,0.0795325,0.001290027,0.001838375,0.0163043478,0.0560214858,0.0364671773,0.0564583113,0.0350171855,0.1195652174,rest_1,session_1,IPCAS_7,1.2053473774,1.2028430476,0.1986641747,0.0928961749,0.1562717849,,16,,,,1,,3,3,3.33,1,101.252990723,-94.4107284546,-40.4420127869,0,1,0,,,1,0,0,37,0,[  -3.           -0.           -0.          101.25299072],[ -0.           3.          -0.         -94.41072845],[  0.           0.           3.32999992 -40.44201279],0,2.5
3120,0.0060592935,0.000835,0.0166972682,0.0023025,0.1358695652,0.0678082339,26052,0.0826578326,0.0810058,0.0048145211,0.004195325,0.0489130435,0.2242192816,0.0898151345,0.4259597315,0.1520773842,0.1195652174,rest_2,session_1,IPCAS_7,1.2587550483,0.9705757403,0.7890348806,0.1530054645,0.2983107966,,16,,,,1,,3,3,3.33,1,101.252990723,-94.4107284546,-40.4420127869,0,1,0,,,1,0,0,37,0,[  -3.           -0.           -0.          101.25299072],[ -0.           3.          -0.         -94.41072845],[  0.           0.           3.32999992 -40.44201279],0,2.5
3121,0.0007716848,0.00058,0.0010810024,0.0002425,0.0815217391,0.048493566,26053,0.1028950489,0.102221,0.0033214573,0.00456225,0.0054347826,0.0618543663,0.0472435874,0.0562351613,0.0379312466,0.0815217391,rest_1,session_1,IPCAS_7,1.0927150102,1.093994019,0.1664643577,0.0273224044,0.171486686,,16,,,,1,,3,3,3.33,1,103.277099609,-89.2024002075,-51.1442146301,0,1,0,,,1,0,0,37,0,[  -3.           -0.           -0.          103.27709961],[ -0.           3.00000024  -0.         -89.20240021],[  0.           0.           3.32999992 -51.14421463],0,2.5
3122,0.0012551087,0.00058,0.0031556888,0.0004325,0.097826087,0.0444254535,26053,0.0966326745,0.09641005,0.0012643871,0.001646775,0.0217391304,0.0491566403,0.0377089231,0.0513333442,0.023922204,0.097826087,rest_2,session_1,IPCAS_7,1.253085907,1.246022563,0.1747243721,0.0382513661,0.1177044547,,16,,,,1,,3,3,3.33,1,103.277099609,-89.2024002075,-51.1442146301,0,1,0,,,1,0,0,37,0,[  -3.           -0.           -0.          103.27709961],[ -0.           3.00000024  -0.         -89.20240021],[  0.           0.           3.32999992 -51.14421463],0,2.5
3123,0.0018645652,0.00058,0.0024545067,0.0013125,0.2119565217,0.0475388148,26054,0.0887180397,0.08937505,0.0028640543,0.005498075,0,0.0617107045,0.0457097288,0.0596371621,0.0384670276,0.0815217391,rest_1,session_1,IPCAS_7,1.0886848387,1.0356151118,0.2422592366,0.043715847,0.2296426814,,16,,,,1,,3,3,3.33,1,102.41078949,-89.6026992798,-42.8384552002,0,1,0,,,1,0,0,37,0,[  -3.00000024   -0.           -0.          102.41078949],[ -0.           2.99999976  -0.         -89.60269928],[  0.           0.           3.32999969 -42.8384552 ],0,2.5
3124,0.002170163,0.0007,0.0045645805,0.0006625,0.1467391304,0.122329938,26054,0.0856281598,0.0851637,0.0015635403,0.001376,0.0815217391,0.0383745856,0.0319968032,0.0288347174,0.0210925635,0.0652173913,rest_2,session_1,IPCAS_7,1.2382119023,1.24950878,0.1311282296,0.0218579235,0.1587806116,,16,,,,1,,3,3,3.33,1,102.41078949,-89.6026992798,-42.8384552002,0,1,0,,,1,0,0,37,0,[  -3.00000024   -0.           -0.          102.41078949],[ -0.           2.99999976  -0.         -89.60269928],[  0.           0.           3.32999969 -42.8384552 ],0,2.5
3125,0.001686087,0.00078,0.0022658418,0.0016825,0.0543478261,0.0422776088,26055,0.0794216185,0.07846175,0.0025333486,0.00445,0,0.0535521964,0.0388555367,0.0557045886,0.0291534314,0.0815217391,rest_2,session_1,IPCAS_7,1.1050393909,1.0684049343,0.1569306339,0.0928961749,0.1117041831,,16,,,,1,,3,3,3.33,1,109.34942627,-87.1471176147,-29.0892410278,0,1,0,,,1,0,0,37,0,[  -3.           -0.           -0.          109.34942627],[ -0.           2.99999976  -0.         -87.14711761],[  0.           0.           3.32999969 -29.08924103],0,2.5
3126,0.0009939674,0.000585,0.0009750741,0.0006225,0.1032608696,0.0222659729,26055,0.0815352266,0.08031005,0.0030828352,0.00395235,0.0163043478,0.0374564786,0.0340579887,0.0185922604,0.0203870142,0.0326086957,rest_1,session_1,IPCAS_7,1.1269885302,1.1272358617,0.057316911,0.0163934426,0.0690866848,,16,,,,1,,3,3,3.33,1,109.34942627,-87.1471176147,-29.0892410278,0,1,0,,,1,0,0,37,0,[  -3.           -0.           -0.          109.34942627],[ -0.           2.99999976  -0.         -87.14711761],[  0.           0.           3.32999969 -29.08924103],0,2.5
3127,0.0011536957,0.00081,0.0010929823,0.0006525,0.0923913043,0.0857173103,26057,0.1108144674,0.1106865,0.0024140683,0.00321225,0.0217391304,0.0367129092,0.0307600175,0.0239285333,0.0259977828,0.0489130435,rest_1,session_1,IPCAS_7,1.014899304,1.0014832181,0.1212812404,0.0163934426,0.1647442284,,16,,,,1,,3,3,3.33,1,105.301208496,-100.476051331,-22.6317005157,0,1,0,,,1,0,0,37,0,[  -3.          -0.          -0.         105.3012085],[  -0.            3.           -0.         -100.47605133],[  0.           0.           3.32999969 -22.63170052],0,2.5
3128,0.0011952174,0.00078,0.0023801299,0.0003,0.0706521739,0.0813446253,26057,0.1044212772,0.1041175,0.0012487997,0.001194,0.0489130435,0.0351812173,0.0299055172,0.0252460713,0.0220954028,0.0597826087,rest_2,session_1,IPCAS_7,1.1354209305,1.1259508979,0.1361670781,0.0054644809,0.1801893037,,16,,,,1,,3,3,3.33,1,105.301208496,-100.476051331,-22.6317005157,0,1,0,,,1,0,0,37,0,[  -3.          -0.          -0.         105.3012085],[  -0.            3.           -0.         -100.47605133],[  0.           0.           3.32999969 -22.63170052],0,2.5
