,EFC,FBER,FWHM,FWHM_x,FWHM_y,FWHM_z,Ghost_y,Participant,SNR,Series,Session,Site,aux_file,bitpix,data_type,db_name,descrip,extensions,intent_name,pix_dimx,pix_dimy,pix_dimz,qform_code,qoffset_x,qoffset_y,qoffset_z,quatern_b,quatern_c,quatern_d,scl_inter,scl_slope,sform_code,slice_code,slice_duration,slice_end,slice_start,srow_x,srow_y,srow_z,toffset,tr
47,0.5420177237,26.0625880967,1.8902414801,1.8176233333,2.15358,1.7253875,0.0361543745,3032,10.771862404,rest_2,session_1,BMB_1,,32,,,,1,,3,3,4,1,97.4952545166,-79.1715316772,-21.6636962891,0,1,0,,,1,0,0,0,0,[ -3.          -0.          -0.          97.49525452],[ -0.           3.          -0.         -79.17153168],[  0.           0.           4.         -21.66369629],0,0
48,0.5388028571,26.7722213374,1.8810680499,1.8179466667,2.12823,1.720335,0.0363152735,3032,10.905356089,rest_1,session_1,BMB_1,,32,,,,1,,3,3,4,1,97.4952545166,-79.1715316772,-21.6636962891,0,1,0,,,1,0,0,0,0,[ -3.          -0.          -0.          97.49525452],[ -0.           3.          -0.         -79.17153168],[  0.           0.           4.         -21.66369629],0,0
49,0.5886564594,25.3002309199,2.0673351696,1.9907333333,2.3590333333,1.8814151121,0.0566630624,3033,9.3827911339,rest_1,session_1,BMB_1,,32,,,,1,,3,3,4,1,93.5190734863,-78.4639129639,-26.0480270386,0,1,0,,,1,0,0,0,0,[ -3.          -0.          -0.          93.51907349],[ -0.           3.          -0.         -78.46391296],[  0.           0.           3.99999976 -26.04802704],0,0
50,0.5852793665,26.0391584075,2.0144842146,1.9269733333,2.3145833333,1.8329201093,0.0605984218,3033,9.5882290379,rest_2,session_1,BMB_1,,32,,,,1,,3,3,4,1,93.5190734863,-78.4639129639,-26.0480270386,0,1,0,,,1,0,0,0,0,[ -3.          -0.          -0.          93.51907349],[ -0.           3.          -0.         -78.46391296],[  0.           0.           3.99999976 -26.04802704],0,0
51,0.5399948925,26.2913976975,2.1297199511,2.0981068334,2.3634433333,1.9480225,0.0415327065,3034,10.4109777796,rest_1,session_1,BMB_1,,32,,,,1,,3,3,4,1,98.8123168945,-76.0102996826,-40.2481536865,0,1,0,,,1,0,0,0,0,[ -2.99999976  -0.          -0.          98.81231689],[ -0.           3.          -0.         -76.01029968],[  0.           0.           4.         -40.24815369],0,0
52,0.534909755,27.3387349071,2.0912696775,2.0729768314,2.3711466667,1.8606975,0.0416640081,3034,10.665743402,rest_2,session_1,BMB_1,,32,,,,1,,3,3,4,1,98.8123168945,-76.0102996826,-40.2481536865,0,1,0,,,1,0,0,0,0,[ -2.99999976  -0.          -0.          98.81231689],[ -0.           3.          -0.         -76.01029968],[  0.           0.           4.         -40.24815369],0,0
53,0.5607031445,29.830383838,1.9564272089,1.8874766667,2.22683,1.7816526062,0.0433222353,3036,10.7195568201,rest_1,session_1,BMB_1,,32,,,,1,,3,3,4,1,100.072250366,-77.6795578003,-14.2842435837,0,1,0,,,1,0,0,0,0,[  -3.           -0.           -0.          100.07225037],[ -0.          3.         -0.        -77.6795578],[  0.           0.           3.99999976 -14.28424358],0,0
54,0.5620885591,29.8343202836,1.9837021903,1.91465,2.2593933333,1.8044626076,0.0421670005,3036,10.73853058,rest_2,session_1,BMB_1,,32,,,,1,,3,3,4,1,100.072250366,-77.6795578003,-14.2842435837,0,1,0,,,1,0,0,0,0,[  -3.           -0.           -0.          100.07225037],[ -0.          3.         -0.        -77.6795578],[  0.           0.           3.99999976 -14.28424358],0,0
55,0.5579193351,29.1614684169,1.8605256364,1.8186434779,2.1042,1.682955,0.0349893086,3037,10.7762883879,rest_1,session_1,BMB_1,,32,,,,1,,3,3,4,1,97.2258148193,-83.1781768799,-9.5740852356,0,1,0,,,1,0,0,0,0,[ -2.99999976  -0.          -0.          97.22581482],[ -0.           3.          -0.         -83.17817688],[ 0.          0.          4.         -9.57408524],0,0
56,0.5565710388,29.8595857009,1.8449377695,1.7982668096,2.0808933333,1.678195,0.0367938429,3037,10.9258853355,rest_2,session_1,BMB_1,,32,,,,1,,3,3,4,1,97.2258148193,-83.1781768799,-9.5740852356,0,1,0,,,1,0,0,0,0,[ -2.99999976  -0.          -0.          97.22581482],[ -0.           3.          -0.         -83.17817688],[ 0.          0.          4.         -9.57408524],0,0
