,CNR,Cortical Contrast,EFC,FBER,FWHM,FWHM_x,FWHM_y,FWHM_z,Participant,Qi1,SNR,Series,Session,Site,aux_file,bitpix,data_type,db_name,descrip,extensions,intent_name,pix_dimx,pix_dimy,pix_dimz,qform_code,qoffset_x,qoffset_y,qoffset_z,quatern_b,quatern_c,quatern_d,scl_inter,scl_slope,sform_code,slice_code,slice_duration,slice_end,slice_start,srow_x,srow_y,srow_z,toffset,tr
234,12.1674184269,0.3028754751,0.4631983747,1269.8287869645,2.97432,2.81497,3.01299,3.10237,21024,0.1628811562,27.3457158854,anat_1,session_1,NKI_TRT,,16,,,,1,,1,1,1,1,95.5,-102.619857788,-148.075057983,0,1,0,,,1,0,0,0,0,[ -1.   -0.   -0.   95.5],[  -0.            1.           -0.         -102.61985779],[   0.            0.            1.         -148.07505798],0,0
9,12.6339419896,0.4309481447,0.3935326058,334.8906819502,3.3528745579,2.8061991441,3.85816,3.4814,25000,0.0520694944,19.3951320895,anat_2,session_2,NYU_2,,32,,,,1,,1.33,1,1,1,75.7805328369,-127,-129.168670654,0,1,0,,,1,0,0,0,0,[ -1.33000183  -0.          -0.          75.78053284],[  -0.    1.   -0. -127.],[   0.            0.            1.         -129.16867065],0,0
64,12.5622179272,0.4226739277,0.3900232133,344.1606244076,3.3139466443,2.7724172358,3.82505,3.43195,25000,0.0538864835,19.7113649179,anat_1,session_2,NYU_2,,32,,,,1,,1.33,1,1,1,75.7805328369,-127,-129.168670654,0,1,0,,,1,0,0,0,0,[ -1.33000183  -0.          -0.          75.78053284],[  -0.    1.   -0. -127.],[   0.            0.            1.         -129.16867065],0,0
116,12.7207908144,0.4041631425,0.3969068101,400.3634461453,3.3037713733,2.7576052261,3.77906,3.46031,25000,0.0476889519,20.8116577507,anat_2,session_1,NYU_2,,32,,,,1,,1.33,1,1,1,78.6720962524,-127,-127.722892761,0,1,0,,,1,0,0,0,0,[ -1.33000183  -0.          -0.          78.67209625],[  -0.    1.   -0. -127.],[   0.            0.            1.         -127.72289276],0,0
169,11.9881430482,0.3758668027,0.3967235278,398.2475848338,3.285403145,2.7331090192,3.77486,3.43724,25000,0.05368263,20.8726232898,anat_1,session_1,NYU_2,,32,,,,1,,1.33,1,1,1,78.6720962524,-127,-127.722892761,0,1,0,,,1,0,0,0,0,[ -1.33000183  -0.          -0.          78.67209625],[  -0.    1.   -0. -127.],[   0.            0.            1.         -127.72289276],0,0
52,10.3257205365,0.3470646805,0.3906676833,353.5828231207,3.0810793383,2.6013272457,3.41547,3.292,25001,0.0659627474,19.7237713866,anat_1,session_2,NYU_2,,32,,,,1,,1.33,1,1,1,86.6239013672,-127,-132.060241699,0,1,0,,,1,0,0,0,0,[ -1.33000183  -0.          -0.          86.62390137],[  -0.    1.   -0. -127.],[   0.           0.           1.        -132.0602417],0,0
267,11.3246689952,0.3989663144,0.3858901196,336.9565733735,3.0338402562,2.5725528493,3.37645,3.21479,25001,0.070226897,19.1683931318,anat_1,session_1,NYU_2,,32,,,,1,,1.33,1,1,1,83.0094451904,-125.554214478,-133.506027222,0,1,0,,,1,0,0,0,0,[ -1.33000183  -0.          -0.          83.00944519],[  -0.            1.           -0.         -125.55421448],[   0.            0.            1.         -133.50602722],0,0
7,10.715131487,0.3319746974,0.3729148508,382.1009406122,3.0237254441,2.5259959749,3.40909,3.21036,25002,0.0595726635,21.2723230822,anat_1,session_2,NYU_2,,32,,,,1,,1.32999,1,1,1,85.9000473022,-124.831329346,-128.445785522,0,1,0,,,1,0,0,0,0,[ -1.3299942  -0.         -0.         85.9000473],[  -0.            1.           -0.         -124.83132935],[   0.            0.            1.         -128.44578552],0,0
259,15.6514288108,0.4521838933,0.3486689695,738.3031625363,2.9876559831,2.5594701605,3.38512,3.078,25002,0.0423421633,24.1800557742,anat_1,session_1,NYU_2,,32,,,,1,,1.33,1,1,1,77.9492034912,-127,-155.192779541,0,1,0,,,1,0,0,0,0,[ -1.33000183  -0.          -0.          77.94920349],[  -0.    1.   -0. -127.],[   0.            0.            1.         -155.19277954],0,0
168,10.8693423351,0.4016491333,0.3829619599,428.70516481,3.2769373923,2.6684474541,3.69524,3.56863,25003,0.1023457281,17.8884678177,anat_1,session_1,NYU_2,,32,,,,1,,1.33,1,1,1,89.5154724121,-124.831329346,-156.638549805,0,1,0,,,1,0,0,0,0,[ -1.33000183  -0.          -0.          89.51547241],[  -0.            1.           -0.         -124.83132935],[   0.           0.           1.        -156.6385498],0,0
171,11.3929941617,0.3951069296,0.3879008104,388.355178315,3.2823296494,2.6584625054,3.70538,3.58992,25003,0.0815663817,19.1291673564,anat_2,session_1,NYU_2,,32,,,,1,,1.33,1,1,1,93.8528213501,-125.554214478,-142.180725098,0,1,0,,,1,0,0,0,0,[ -1.33000183  -0.          -0.          93.85282135],[  -0.            1.           -0.         -125.55421448],[   0.           0.           1.        -142.1807251],0,0
